Path,Name,Type,Exts,Address,Fox Port,Use Foxs,Host Model,Host Model Version,Version,Credential Store,Status,Enabled,Health,Fault Cause,Client Conn,Server Conn,Virtuals Enabled,Platform Status,Platform User,Platform Password,Secure Platform,Platform Port
/Drivers/NiagaraNetwork/SF_NERO_FX1,SF_NERO_FX1,Niagara Station,Niagara Station,ip:192.168.1.51,1911,false,TITAN,,4.12.1.16,Client Credentials,{ok},true,Ok [19-Aug-25 2:07 PM EDT],,Connected,Connected,false,{ok},admin, --password--,false,3011
/Drivers/NiagaraNetwork/SF_NERO_FX2,SF_NERO_FX2,Niagara Station,Niagara Station,ip:192.168.1.52,1911,false,TITAN,,4.12.1.16,Client Credentials,{ok},true,Ok [19-Aug-25 2:09 PM EDT],,Not connected,Connected,false,{ok},admin, --password--,false,3011
/Drivers/NiagaraNetwork/SF_NERO_FX3,SF_NERO_FX3,Niagara Station,Niagara Station,ip:192.168.1.53,1911,false,TITAN,,4.12.1.16,Client Credentials,{ok},true,Ok [19-Aug-25 2:06 PM EDT],,Not connected,Connected,false,{ok},admin, --password--,false,3011
/Drivers/NiagaraNetwork/SF_NERO_FX4,SF_NERO_FX4,Niagara Station,Niagara Station,ip:192.168.1.54,1911,false,TITAN,,4.12.1.16,Client Credentials,{ok},true,Ok [19-Aug-25 2:06 PM EDT],,Not connected,Connected,false,{ok},admin, --password--,false,3011
/Drivers/NiagaraNetwork/SF_NERO_FX5,SF_NERO_FX5,Niagara Station,Niagara Station,ip:192.168.1.55,1911,false,TITAN,,4.12.1.16,Client Credentials,{ok},true,Ok [19-Aug-25 2:08 PM EDT],,Not connected,Connected,false,{ok},admin, --password--,false,3011
/Drivers/NiagaraNetwork/SF_NERO_FX6,SF_NERO_FX6,Niagara Station,Niagara Station,ip:192.168.1.56,1911,false,TITAN,,4.12.1.16,Client Credentials,{ok},true,Ok [19-Aug-25 2:07 PM EDT],,Connected,Not connected,false,{ok},admin, --password--,false,3011
/Drivers/NiagaraNetwork/Transwestern_300KimballDr,Transwestern_300KimballDr,Niagara Station,Niagara Station,ip:192.168.1.126,1914,false,JVLN,,3.7.106.10,Client Credentials,{ok},true,Ok [19-Aug-25 2:06 PM EDT],,Not connected,Not connected,true,{ok},admin, --password--,false,3015
/Drivers/NiagaraNetwork/LANGAN,LANGAN,Niagara Station,Niagara Station,ip:192.168.1.140,1913,false,TITAN,,4.7.109.20.1,Client Credentials,{ok},true,Ok [19-Aug-25 2:06 PM EDT],,Not connected,Connected,false,"{fault,down}",langan, --password--,false,3011
/Drivers/NiagaraNetwork/FM_GLOBAL,FM_GLOBAL,Niagara Station,Niagara Station,ip:192.168.1.129,1912,false,TITAN,,4.10.0.154,Client Credentials,{ok},true,Ok [19-Aug-25 2:06 PM EDT],,Not connected,Connected,false,"{fault,down}",distech, --password--,false,3011
/Drivers/NiagaraNetwork/FISERV,FISERV,Niagara Station,Niagara Station,ip:192.168.1.122,1911,false,NPM6E,,3.7.106.8,Client Credentials,{unackedAlarm},true,Ok [19-Aug-25 2:07 PM EDT],,Connected,Not connected,false,"{fault,down,alarm}",distech, --password--,false,3011
